AYHO,Haivaro Airport,PG,Haivaro,PG-GPK,OC,small_airport,-6.9406,143.059,180,RUNWAY,1641,98,GRASS,0,0,06,,,,,,24,,,,,
AYHQ,Hauna Airstrip,PG,Hauna,PG-ESW,OC,small_airport,-4.2994,142.2305,73,RUNWAY,1585,98,GRASS,0,0,03,,,,,,21,,,,,
AYHT,Hotmin Airstrip,PG,Hotmin Mission,PG-ESW,OC,small_airport,-4.5845,141.5742,196,RUNWAY,1509,98,GRASS,0,0,14,,,,,,32,,,,,
AYHW,Haewenai Airstrip,PG,Haewenai,PG-WPD,OC,small_airport,-5.7219,141.3205,220,RUNWAY,1969,98,GRASS,0,0,08,,,,,,26,,,,,
AYHX,Herowena Airstrip,PG,Herowana,PG-EHG,OC,small_airport,-6.6229,145.1972,4695,RUNWAY,1969,98,GRASS,0,0,17,,,,,,35,,,,,
AYIB,Ibil Airstrip,PG,Ibil,PG-SAN,OC,small_airport,-4.6828,141.0316,870,RUNWAY,1969,98,GRAVEL,0,0,03,,,,,,21,,,,,
AYII,Imane Airport,PG,Imane,PG-MPL,OC,small_airport,-6.7524,146.1072,3860,RUNWAY,1640,,,0,0,06,,,,,,24,,,,,
AYIM,Kungim Airport,PG,Kungim,PG-WPD,OC,small_airport,-5.671,141.03,349,RUNWAY,1391,,,0,0,18,,,,,,36,,,,,
AYIN,Busilmin Airstrip,PG,Busilmin,PG-SAN,OC,small_airport,-4.9166,141.1548,5450,RUNWAY,1640,98,GRAVEL,0,0,11,,,,,,29,,,,,
AYIP,Iropena Airstrip,PG,Iropena,PG-ESW,OC,small_airport,-5.0333,143.87084,5190,RUNWAY,1509,98,GRASS,0,0,18,,,,,,36,,,,,
AYIR,Inaru Airstrip,PG,Inaru,PG-ESW,OC,small_airport,-4.6316,142.8913,178,RUNWAY,1837,98,RED CLAY,0,0,05,,,,,,23,,,,,
